p_exposure,p_automatable,rationale,raw_ok,job_id
,,"PARSE_FAIL: BadRequestError: Error code: 400 - {'detail': 'ExceededBudget: End User=35db1485-18d0-47bc-aa77-bf675d11b745 over budget. Spend=2.002374, Budget=2.0'}",0,3906202183
,,"PARSE_FAIL: BadRequestError: Error code: 400 - {'detail': 'ExceededBudget: End User=35db1485-18d0-47bc-aa77-bf675d11b745 over budget. Spend=2.002374, Budget=2.0'}",0,3905254228
,,"PARSE_FAIL: BadRequestError: Error code: 400 - {'detail': 'ExceededBudget: End User=35db1485-18d0-47bc-aa77-bf675d11b745 over budget. Spend=2.002374, Budget=2.0'}",0,3895550294
,,"PARSE_FAIL: BadRequestError: Error code: 400 - {'detail': 'ExceededBudget: End User=35db1485-18d0-47bc-aa77-bf675d11b745 over budget. Spend=2.002374, Budget=2.0'}",0,3906200470
,,"PARSE_FAIL: BadRequestError: Error code: 400 - {'detail': 'ExceededBudget: End User=35db1485-18d0-47bc-aa77-bf675d11b745 over budget. Spend=2.002374, Budget=2.0'}",0,3888821714
,,"PARSE_FAIL: BadRequestError: Error code: 400 - {'detail': 'ExceededBudget: End User=35db1485-18d0-47bc-aa77-bf675d11b745 over budget. Spend=2.002374, Budget=2.0'}",0,3905299409
,,"PARSE_FAIL: BadRequestError: Error code: 400 - {'detail': 'ExceededBudget: End User=35db1485-18d0-47bc-aa77-bf675d11b745 over budget. Spend=2.002374, Budget=2.0'}",0,3903475910
,,"PARSE_FAIL: BadRequestError: Error code: 400 - {'detail': 'ExceededBudget: End User=35db1485-18d0-47bc-aa77-bf675d11b745 over budget. Spend=2.002374, Budget=2.0'}",0,3889759495
,,"PARSE_FAIL: BadRequestError: Error code: 400 - {'detail': 'ExceededBudget: End User=35db1485-18d0-47bc-aa77-bf675d11b745 over budget. Spend=2.002374, Budget=2.0'}",0,3900942928
,,"PARSE_FAIL: BadRequestError: Error code: 400 - {'detail': 'ExceededBudget: End User=35db1485-18d0-47bc-aa77-bf675d11b745 over budget. Spend=2.002374, Budget=2.0'}",0,3905854526
,,"PARSE_FAIL: BadRequestError: Error code: 400 - {'detail': 'ExceededBudget: End User=35db1485-18d0-47bc-aa77-bf675d11b745 over budget. Spend=2.002374, Budget=2.0'}",0,9f3dae60136c
,,"PARSE_FAIL: BadRequestError: Error code: 400 - {'detail': 'ExceededBudget: End User=35db1485-18d0-47bc-aa77-bf675d11b745 over budget. Spend=2.002374, Budget=2.0'}",0,351a84addf7f
,,"PARSE_FAIL: BadRequestError: Error code: 400 - {'detail': 'ExceededBudget: End User=35db1485-18d0-47bc-aa77-bf675d11b745 over budget. Spend=2.002374, Budget=2.0'}",0,8af56e0e8b7e
,,"PARSE_FAIL: BadRequestError: Error code: 400 - {'detail': 'ExceededBudget: End User=35db1485-18d0-47bc-aa77-bf675d11b745 over budget. Spend=2.002374, Budget=2.0'}",0,eea3867f79cf
,,"PARSE_FAIL: BadRequestError: Error code: 400 - {'detail': 'ExceededBudget: End User=35db1485-18d0-47bc-aa77-bf675d11b745 over budget. Spend=2.002374, Budget=2.0'}",0,7d8bbd5f8f5c
