p_exposure,p_automatable,rationale,raw_ok,job_id
0.05,0.82,"Routine document processing, data entry, filing—highly automatable; no AI involvement in the work itself.",1,3906202183
0.05,0.75,"Routine sample prep and lab procedures; no AI involvement but highly repetitive, automatable tasks.",1,3905254228
0.1,0.15,"Maintenance area manager: hands-on supervisory/operational role, minimal AI involvement, hard to fully automate.",1,3895550294
0.1,0.3,Relationship-driven sales role; uses market tools but core work is human relationships and judgment.,1,3906200470
0.05,0.2,"Sales/business development role in agriculture; relationship-driven fieldwork, minimal AI involvement, hard to automate.",1,3888821714
0.1,0.65,"Logistics coordination is routine scheduling/tracking, highly automatable, but posting shows no direct AI/ML work.",1,3905299409
0.05,0.15,"Field manager role centered on relationships, travel, and onsite agriculture; minimal AI involvement and hard to automate.",1,3903475910
0.03,0.05,"Hands-on emergency veterinary care requires physical examination and judgment; no AI involvement, minimally automatable.",1,3889759495
0.15,0.2,"Field agronomy role focused on trials, training, relationships; minimal AI use and hard to automate physical fieldwork.",1,3900942928
0.05,0.35,"Hands-on physical maintenance and monitoring; minimal AI involvement, partly automatable via sensors but requires manual labor.",1,3905854526
0.04,0.4,"Hands-on food safety/sanitation inspection role; no AI involvement, but some monitoring tasks partially automatable.",1,9f3dae60136c
0.02,0.15,"Hands-on cooking role; no AI involved, and food prep requires manual dexterity hard to automate.",1,351a84addf7f
0.25,0.3,"Quality manager role centers on data analysis and reporting but emphasizes cross-functional leadership, not AI work.",1,8af56e0e8b7e
0.05,0.75,"Teller role with routine cash transactions, highly automatable via ATM/mobile; minimal direct AI work involved.",1,eea3867f79cf
0.05,0.2,"Relationship-driven field sales role; no AI involvement, requires human interaction and in-home customer relationships.",1,7d8bbd5f8f5c
0.03,0.4,"Customer-facing retail parts role; no AI involved. Some routine cashier/lookup tasks automatable, but in-person service limits replacement.",1,e0f606d1a2f9
0.1,0.15,"Field-based environmental remediation engineering; hands-on technical leadership, no AI/ML mentioned, tasks not routine.",1,e094f6a71469
0.1,0.3,"Manufacturing supervisory role; people management and coordination, minimal direct AI involvement, hard to fully automate.",1,9ca9f5e9bc3f
0.05,0.4,Commission-based sales role; no AI work involved. Some sales tasks automatable but relationship selling persists.,1,5cd3ab0c3a55
0.03,0.55,"Manual freight receiving and inventory; no AI involved, but routine tasks partly automatable by warehouse systems.",1,d9099f71cf65
0.08,0.62,"Customer service insurance role; routine calls/payments automatable, but no AI work involved.",1,3884438190
0.1,0.75,"Routine case routing, monitoring, and communication tasks are highly automatable; no direct AI work involved.",1,3904935459
0.05,0.2,"Field-based physical inspections of boilers/pressure vessels; hands-on, varied work; no AI involvement, hard to automate.",1,3904722294
0.08,0.55,Claims examination with rule-based coverage determination is partly automatable; no AI/ML work in role itself.,1,3900947165
0.4,0.15,Tech innovation/product leadership role; may involve AI but strategic management work is hard to automate.,1,3884919161
0.6,0.2,Data-driven transformation leadership role; strategic/collaborative work resists automation but involves data systems.,1,3898162867
0.1,0.4,Auto appraiser requires in-person inspections and travel; some estimating tasks automatable but physical inspection limits it.,1,3901357011
0.05,0.4,Sales development role with no AI involvement; relationship-building resists automation but some outreach tasks are routine.,1,3905831703
0.1,0.4,"ERP development role, no AI/ML focus; coding tasks partly automatable but require business analysis and judgment.",1,3904932799
0.15,0.3,"Consulting role focused on client relationships, strategy, project management; minimal AI work, hard to fully automate.",1,3904362586
0.2,0.1,"Senior strategic underwriting leadership; data-driven mention but role centers on judgment, strategy, hard to automate.",1,989f28775547
0.1,0.2,"Risk consulting in construction safety; client-facing advisory work, minimal AI involvement, hard to automate.",1,7082edb64865
0.05,0.3,"Asset protection/security role; physical presence and judgment needed, minimal AI involvement, partially automatable via surveillance.",1,eebf295833f6
0.35,0.6,"Financial analyst role; data-heavy, uses analytics tools, many routine reporting tasks automatable but judgment required.",1,6bb7bb0b6df7
